id,value,feed_id,created_at,lat,lon,ele
0DKE7CWYGY97VP8K575QVZGCSM,858,680438,2017-05-30 20:38:18 UTC,,,
0DKE7D005R50HTPZTVY2DEXVXP,852,680438,2017-05-30 20:38:28 UTC,,,
0DKE7D31SMA1VD1149QNH29K6M,851,680438,2017-05-30 20:38:38 UTC,,,
0DKE7D63FK6F17Q34E2ST896EK,850,680438,2017-05-30 20:38:48 UTC,,,
0DKE7D953Q6ZMVF8H6XGKK9863,849,680438,2017-05-30 20:38:58 UTC,,,
0DKE7DC6S4WV7QCYMHK7S27B7T,856,680438,2017-05-30 20:39:08 UTC,,,
0DKE7DF8DNKPJSSV18SQYDD8EG,851,680438,2017-05-30 20:39:18 UTC,,,
0DKE7DJA2P8PNY9JRK124YH6Y9,851,680438,2017-05-30 20:39:28 UTC,,,
0DKE7DNBR0KS0DA6HFQ6VE92Z2,849,680438,2017-05-30 20:39:38 UTC,,,
0DKE7DRDCT3VXTNS9RRN592CKW,850,680438,2017-05-30 20:39:48 UTC,,,
0DKE7DVF2VG5J2QD7B8DS6WM42,849,680438,2017-05-30 20:39:58 UTC,,,
0DKE7DYGPQ2G30K7SJMT9XK6BR,848,680438,2017-05-30 20:40:08 UTC,,,
0DKE7E1JBMZRVN14AYSVQ9FRRS,850,680438,2017-05-30 20:40:18 UTC,,,
0DKE7E4M12GGHV5942CEMFZ89D,850,680438,2017-05-30 20:40:28 UTC,,,
0DKE7E7NNYSRZ0SCXCEZ698E68,851,680438,2017-05-30 20:40:38 UTC,,,
0DKE7EAQC6ZBQ62MC9RYCPCGZK,849,680438,2017-05-30 20:40:48 UTC,,,
0DKE7EDS0QN4M44516ZSVA4MGN,847,680438,2017-05-30 20:40:58 UTC,,,
0DKE7EGTNFS49EGVHCZMNT720P,844,680438,2017-05-30 20:41:08 UTC,,,
0DKE7EKWBMHMBZ6WR1XZRP1V2V,849,680438,2017-05-30 20:41:18 UTC,,,
0DKE7EPZ298TJ5N5VGSW8T7ENR,857,680438,2017-05-30 20:41:28 UTC,,,
0DKE7ESZMKFKWK2AGTXBXRBV69,849,680438,2017-05-30 20:41:38 UTC,,,
0DKE7EX1A56429MTNT8W2PNSA5,847,680438,2017-05-30 20:41:48 UTC,,,
0DKE7F02Z26GATJAW8VRJ9594P,845,680438,2017-05-30 20:41:58 UTC,,,
0DKE7F34K21WD528TDXCG9TEKD,850,680438,2017-05-30 20:42:08 UTC,,,
0DKE7F6688QJ8FCEM8BK6VFXQ7,847,680438,2017-05-30 20:42:18 UTC,,,
0DKE7F97WWD1JJRBGEXQ6M61KR,848,680438,2017-05-30 20:42:28 UTC,,,
0DKE7FC9JRCP00H76QNMZQS7HG,847,680438,2017-05-30 20:42:38 UTC,,,
0DKE7FFB76FJ0SMFZ6CMQ5CCH6,848,680438,2017-05-30 20:42:48 UTC,,,
0DKE7FJCW6NNF8DX7S0VHVXW2Z,848,680438,2017-05-30 20:42:58 UTC,,,
0DKE7FNEGYDYQ30RX0C0MWTDEB,848,680438,2017-05-30 20:43:08 UTC,,,
0DKE7FRG6ZWN6CSG9ANTE8X4YK,847,680438,2017-05-30 20:43:18 UTC,,,
0DKE7FVHVM146SGZPJCHMEBSPX,848,680438,2017-05-30 20:43:28 UTC,,,
0DKE7FYKGEAC3FGTXAGCX49DF0,845,680438,2017-05-30 20:43:38 UTC,,,
0DKE7G1N60K0GBDK6KACVX26ZP,855,680438,2017-05-30 20:43:48 UTC,,,
0DKE7G4PTZVN7S5TPZDKJR1DBJ,842,680438,2017-05-30 20:43:58 UTC,,,
0DKE7G7RF6BJV28XQSTCVG0RET,842,680438,2017-05-30 20:44:08 UTC,,,
0DKE7GAT4670GBS9R4ZNWGAN36,844,680438,2017-05-30 20:44:18 UTC,,,
0DKE7GDVTE2TBDTYBHN3EEPRRF,844,680438,2017-05-30 20:44:28 UTC,,,
0DKE7GGXFA6SG69B6TT1KTGX3W,843,680438,2017-05-30 20:44:38 UTC,,,
0DKE7GKZ5REKFG4PK54A1GX3S4,848,680438,2017-05-30 20:44:48 UTC,,,
0DKE7GQ0R40K3ERCG2F9RJZCGF,842,680438,2017-05-30 20:44:58 UTC,,,
0DKE7GT2DQ5D0T79BGPK1YA1ZA,846,680438,2017-05-30 20:45:08 UTC,,,
0DKE7GX42ECT2H9MZ3WXEF4DN4,847,680438,2017-05-30 20:45:18 UTC,,,
