id,value,feed_id,created_at,lat,lon,ele
0DK24ZTPRXK3837WMAH64P09JJ,853,676092,2017-05-15 20:28:47 UTC,,,
0DK24ZXRETP3RDPE1WB73DMY22,854,676092,2017-05-15 20:28:57 UTC,,,
0DK2500T330FSE35H0N2VKGE08,854,676092,2017-05-15 20:29:07 UTC,,,
0DK2503VRJTWB6TMDFP1NP5YXJ,846,676092,2017-05-15 20:29:17 UTC,,,
0DK2506XEQPPS8T81S9WN4DHHF,852,676092,2017-05-15 20:29:27 UTC,,,
0DK2509Z303G9SSWGXXTETMRZ9,853,676092,2017-05-15 20:29:37 UTC,,,
0DK250D0SD1E8CYK6XZ15QKZHG,855,676092,2017-05-15 20:29:47 UTC,,,
0DK250G2D3GSNZSX1FAD3KB6M5,850,676092,2017-05-15 20:29:57 UTC,,,
0DK250K40RBP1TMQC3RGH27ZQW,849,676092,2017-05-15 20:30:07 UTC,,,
0DK250P5PY5PAZ2NSWR2NHN5J1,850,676092,2017-05-15 20:30:17 UTC,,,
0DK250S7C1GVATZDXAGEXMGT1P,850,676092,2017-05-15 20:30:27 UTC,,,
0DK250W90XERQDE1EVMCJFYVM0,848,676092,2017-05-15 20:30:37 UTC,,,
0DK250ZAP3TFRTHR5K677SWSRF,849,676092,2017-05-15 20:30:47 UTC,,,
0DK2512CBA49W2A8APE9E7RV7C,850,676092,2017-05-15 20:30:57 UTC,,,
0DK2515E02BBQR89GMC4DVSTT9,852,676092,2017-05-15 20:31:07 UTC,,,
0DK2518FMGXG5NCM53Y23XYS75,852,676092,2017-05-15 20:31:17 UTC,,,
0DK251BH9GVRB8BXVS13M4S031,854,676092,2017-05-15 20:31:27 UTC,,,
0DK251EJYWFW70KK4EGWE34M6J,856,676092,2017-05-15 20:31:37 UTC,,,
0DK251HMM5G76CSNKPXYM9NBE0,856,676092,2017-05-15 20:31:47 UTC,,,
0DK251MP8W75VT812153V7TES8,851,676092,2017-05-15 20:31:57 UTC,,,
0DK251QQYHTNSC9FF41D8DDS34,849,676092,2017-05-15 20:32:07 UTC,,,
0DK251TSJN31D4D84W0AQV29XA,858,676092,2017-05-15 20:32:17 UTC,,,
0DK251XV732QHJY1C29M1TDVPB,850,676092,2017-05-15 20:32:27 UTC,,,
0DK2520WWNQWJZCFANJJP13TP2,855,676092,2017-05-15 20:32:37 UTC,,,
0DK2523YJ31PSY5GDNAZK2A46A,855,676092,2017-05-15 20:32:47 UTC,,,
0DK252706XKQ3VXH2Z1VKNKT3C,852,676092,2017-05-15 20:32:57 UTC,,,
0DK252A1VG02EWRNB5F47Y85QH,848,676092,2017-05-15 20:33:07 UTC,,,
0DK252D3GHANX8RVEW3R0W2210,850,676092,2017-05-15 20:33:17 UTC,,,
0DK252G557M1YV84VNDEDQRN2S,854,676092,2017-05-15 20:33:27 UTC,,,
0DK252K6VE33Q3ZEZK0QEMZ41K,857,676092,2017-05-15 20:33:37 UTC,,,
0DK252P8F057VF0JCH6Y6WMDB6,853,676092,2017-05-15 20:33:47 UTC,,,
0DK252SAER2CNGTJF833FJJDXC,855,676092,2017-05-15 20:33:57 UTC,,,
0DK252WBSGVC746NRM7ZRXYV15,850,676092,2017-05-15 20:34:07 UTC,,,
0DK252ZDEQBNZMHABPPGE3TXDY,850,676092,2017-05-15 20:34:17 UTC,,,
0DK2532F4JSZ6FK8FP1WW58RZ5,862,676092,2017-05-15 20:34:27 UTC,,,
0DK2535GRMGRD9MHG355NDN8EG,856,676092,2017-05-15 20:34:37 UTC,,,
0DK2538JD6EH8W3JJ5SKX2460Y,862,676092,2017-05-15 20:34:47 UTC,,,
0DK253BM2ZJB1G3D7ZGGPVQ68V,855,676092,2017-05-15 20:34:57 UTC,,,
0DK253ENQQFXG9FBK8EZG5ZKRR,861,676092,2017-05-15 20:35:07 UTC,,,
0DK253HQEDYNN4FFYBQFMQ6FDS,857,676092,2017-05-15 20:35:17 UTC,,,
0DK253MS1XN945BNJ098MQNBQ7,858,676092,2017-05-15 20:35:27 UTC,,,
0DK253QTP5DKY7BHGNHB34BX9N,855,676092,2017-05-15 20:35:37 UTC,,,
0DK253TWC1FFJJMY9Z8ZPTJ0DJ,860,676092,2017-05-15 20:35:47 UTC,,,
0DK253XY36JF57KHS067FWKJVB,853,676092,2017-05-15 20:35:57 UTC,,,
0DK2540ZNAAWF30E7J2808P9FM,856,676092,2017-05-15 20:36:07 UTC,,,
0DK25441FAM9S80N64JQ2BPZFJ,857,676092,2017-05-15 20:36:17 UTC,,,
0DK25473037F5PPYJQ42BJ2WZA,855,676092,2017-05-15 20:36:27 UTC,,,
0DK254A4MD3D936RPJ3KWSBRGV,853,676092,2017-05-15 20:36:37 UTC,,,
0DK254D6BBSGDQHGNT70T0NHWN,853,676092,2017-05-15 20:36:47 UTC,,,
0DK254G7YGR43B4YAGAVNEZCAS,854,676092,2017-05-15 20:36:57 UTC,,,
0DK254K9K88A4M3SD7C439W64Q,856,676092,2017-05-15 20:37:07 UTC,,,
0DK254PBDX49TZJREA00NAHACZ,864,676092,2017-05-15 20:37:17 UTC,,,
0DK254SCY619JW8E5GJ67717GY,861,676092,2017-05-15 20:37:27 UTC,,,
0DK254WEKB89ZQHN8ZVWPJS68N,857,676092,2017-05-15 20:37:37 UTC,,,
0DK254ZG96R5TGA9V4BHK47DV9,861,676092,2017-05-15 20:37:47 UTC,,,
0DK2552HXWKW1EM5FGK8JWBAAN,857,676092,2017-05-15 20:37:57 UTC,,,
0DK2555KKNS8XBG20F8YSB0VQG,858,676092,2017-05-15 20:38:07 UTC,,,
0DK2558N6ADRT792NBQM3HRDMX,857,676092,2017-05-15 20:38:17 UTC,,,
0DK255BPWNDKWPKADDMMR6WTG4,853,676092,2017-05-15 20:38:27 UTC,,,
0DK255ESEWAT4K1HXNPBZ030VB,858,676092,2017-05-15 20:38:37 UTC,,,
0DK255HT5909XHDZ5XRP43Y5EF,858,676092,2017-05-15 20:38:47 UTC,,,
0DK255MVTDS2C3NA7KJSGZNYBC,860,676092,2017-05-15 20:38:57 UTC,,,
