id,value,feed_id,created_at,lat,lon,ele;;;;;;
0DK151X6BH0FRAA111RKZFTVCJ,870,675748,2017-05-14 14:42:50 UTC,,,;;;;;;14:42
0DK15207Z7X6YTSC8VB3HP8JFS,864,675748,2017-05-14 14:43:00 UTC,,,;;;;;;
0DK15239MTW5RY59H51D1MRW71,861,675748,2017-05-14 14:43:10 UTC,,,;;;;;;
0DK1526BABEMVWV9P6KAPQTV81,834,675748,2017-05-14 14:43:20 UTC,,,;;;;;;
0DK1529CYX0SP0BRPRKQRTYQBB,859,675748,2017-05-14 14:43:30 UTC,,,;;;;;;
0DK152CEKGTB35GTTAF33VFCG3,857,675748,2017-05-14 14:43:40 UTC,,,;;;;;;
0DK152FG9YCW57JXZJ3MYDE3TH,858,675748,2017-05-14 14:43:50 UTC,,,;;;;;;
0DK152JHZRKTKJEPXTMMC304HQ,852,675748,2017-05-14 14:44:00 UTC,,,;;;;;;
0DK152NKJXENSAPWF8328HZ7KF,857,675748,2017-05-14 14:44:10 UTC,,,;;;;;;
0DK152RN7GN07AWGV23Y3YV04K,835,675748,2017-05-14 14:44:20 UTC,,,;;;;;;
0DK152VPWG32R11879PRTH66PR,834,675748,2017-05-14 14:44:30 UTC,,,;;;;;;
0DK152YRHA59CQJ3D0EJMCRBME,835,675748,2017-05-14 14:44:40 UTC,,,;;;;;;
0DK1531T6TT3CY9G3RCCNCCCKV,856,675748,2017-05-14 14:44:50 UTC,,,;;;;;;
0DK1534VV8TH7QWPWTWTAGHVS2,857,675748,2017-05-14 14:45:00 UTC,,,;;;;;;
0DK1537XGF97CWGBDJVR56AMAC,857,675748,2017-05-14 14:45:10 UTC,,,;;;;;;
0DK153AZ5NA20A3RSN5FVWDDFZ,857,675748,2017-05-14 14:45:20 UTC,,,;;;;;;
0DK153E0V1NDK17Y069X2HBWZE,832,675748,2017-05-14 14:45:30 UTC,,,;;;;;;
0DK153H2FVC5W1HM00Q94AAK7X,855,675748,2017-05-14 14:45:40 UTC,,,;;;;;;
0DK153M448FVYW3ETBC05H87PN,855,675748,2017-05-14 14:45:50 UTC,,,;;;;;;
0DK153Q5SDG6DSJZEJMRKMBV9A,854,675748,2017-05-14 14:46:00 UTC,,,;;;;;;
0DK153T7EDK7NB97AC5NS5QFPY,851,675748,2017-05-14 14:46:10 UTC,,,;;;;;;
0DK153X93NKJJWQ55T85DEJGVF,855,675748,2017-05-14 14:46:20 UTC,,,;;;;;;
0DK1540AWEJT4V6J2KJMKH1GTB,854,675748,2017-05-14 14:46:30 UTC,,,;;;;;;
0DK1543CE4HQ19XDQS79QNT6PS,854,675748,2017-05-14 14:46:40 UTC,,,;;;;;;
0DK1546E2TWDSKQ1066FPDPPPV,854,675748,2017-05-14 14:46:50 UTC,,,;;;;;;
0DK1549FQG7ND220YXT4ZJ1J64,852,675748,2017-05-14 14:47:00 UTC,,,;;;;;;
0DK154CHCCNS77JJTR1R4Q6HH4,830,675748,2017-05-14 14:47:10 UTC,,,;;;;;;
0DK154FK1JHNBDEF88CA4EN65F,856,675748,2017-05-14 14:47:20 UTC,,,;;;;;;
0DK154JMPTCN3G7AMTKCSV82ZK,826,675748,2017-05-14 14:47:30 UTC,,,;;;;;;
0DK154NPB8CP0EV35DS1Y9Z5SE,851,675748,2017-05-14 14:47:40 UTC,,,;;;;;;
