id,value,feed_id,created_at,lat,lon,ele
0DK2DSCX7H4DZPR8BGGCFMWGHM,863,676192,2017-05-16 04:40:51 UTC,,,
0DK2DSFYSREM22V0BJ2PKD6EQS,866,676192,2017-05-16 04:41:01 UTC,,,
0DK2DSK0GFW1QQJTWC18FB4G23,857,676192,2017-05-16 04:41:11 UTC,,,
0DK2DSP265V7WG0VCG94BBMKS2,856,676192,2017-05-16 04:41:21 UTC,,,
0DK2DSS3WZSJTWTWHYVF583FTS,855,676192,2017-05-16 04:41:31 UTC,,,
0DK2DSW5ECF211YZGM4G5K9CVC,852,676192,2017-05-16 04:41:41 UTC,,,
0DK2DSZ71TF3KF65WSW1VM8EWQ,855,676192,2017-05-16 04:41:51 UTC,,,
0DK2DT28WRSRR2300BQJX0ABE5,848,676192,2017-05-16 04:42:01 UTC,,,
0DK2DT5ACC7N4C7Z66HFAXH7WN,847,676192,2017-05-16 04:42:11 UTC,,,
0DK2DT8C5NG9Q88QNHC1P7W53X,856,676192,2017-05-16 04:42:21 UTC,,,
0DK2DTBDNQB1QPXMP44E2BX2SX,852,676192,2017-05-16 04:42:31 UTC,,,
0DK2DTEFH8YDSFR24B8R1TXNTV,851,676192,2017-05-16 04:42:41 UTC,,,
0DK2DTHGZPEKMGWHZAFCATT9Q4,851,676192,2017-05-16 04:42:51 UTC,,,
0DK2DTMJW079PDDTPT64ECMAAT,848,676192,2017-05-16 04:43:01 UTC,,,
0DK2DTQMBVF06SN59QG6K0KQRE,848,676192,2017-05-16 04:43:11 UTC,,,
0DK2DTTP13PJZRVW6RCRHPG4BR,849,676192,2017-05-16 04:43:21 UTC,,,
0DK2DTXQMHDHVYG0DZ1FTN9E2Q,848,676192,2017-05-16 04:43:31 UTC,,,
0DK2DV0S9GP01GXJK95QPDGGWT,851,676192,2017-05-16 04:43:41 UTC,,,
0DK2DV3TXQ00ATDSRPTX4HRR8R,847,676192,2017-05-16 04:43:51 UTC,,,
0DK2DV6WMF6QX763JSTN003XWF,846,676192,2017-05-16 04:44:01 UTC,,,
0DK2DV9Y7WHST39G7B594TW6NC,847,676192,2017-05-16 04:44:11 UTC,,,
0DK2DVD0118T3GX23V3PR3GECD,847,676192,2017-05-16 04:44:21 UTC,,,
0DK2DVG2GS0WABCGZTZ3V9P3HM,846,676192,2017-05-16 04:44:31 UTC,,,
0DK2DVK37QP586NRENGTAGMYP8,847,676192,2017-05-16 04:44:41 UTC,,,
0DK2DVP4Y86W4VNBAEVCGJTZF0,847,676192,2017-05-16 04:44:51 UTC,,,
0DK2DVS6GQX9KAVTJQDRBYG225,847,676192,2017-05-16 04:45:01 UTC,,,
0DK2DVW85JW8A8ATTA052JBY2Z,845,676192,2017-05-16 04:45:11 UTC,,,
0DK2DVZ9VNJXTWSGZGV3J965G6,847,676192,2017-05-16 04:45:21 UTC,,,
0DK2DW2BFX9SWFGP7FG1JVERSK,845,676192,2017-05-16 04:45:31 UTC,,,
0DK2DW5D4W7J1NNFEZM0FNK04M,845,676192,2017-05-16 04:45:41 UTC,,,
0DK2DW8ESZRNZ7SY54HBWMQSHP,845,676192,2017-05-16 04:45:51 UTC,,,
0DK2DWBGG8MW2R9AB7P7QXAQFH,846,676192,2017-05-16 04:46:01 UTC,,,
0DK2DWEJ45X0CCE85RCJ6VXMH9,847,676192,2017-05-16 04:46:11 UTC,,,
0DK2DWHKRVEXETYQXCMB1N4F03,847,676192,2017-05-16 04:46:21 UTC,,,
0DK2DWMNEJGV945M9XCQ6YBGNC,851,676192,2017-05-16 04:46:31 UTC,,,
0DK2DWQQG4EQH96K0JWZV0GSDE,847,676192,2017-05-16 04:46:41 UTC,,,
0DK2DWTRRRP3ASKG0W65XPYTNY,846,676192,2017-05-16 04:46:51 UTC,,,
0DK2DWXTDQJME120ZE3GZKM7EQ,844,676192,2017-05-16 04:47:01 UTC,,,
0DK2DX0W1DHFHGE2HXP42KT7YZ,843,676192,2017-05-16 04:47:11 UTC,,,
0DK2DX3XPZHBHGFTK5AJV89YCH,845,676192,2017-05-16 04:47:21 UTC,,,
0DK2DX6ZBWYECKET1JN2V13HDJ,845,676192,2017-05-16 04:47:31 UTC,,,
0DK2DXA10QERFT29MR7D34EW6E,845,676192,2017-05-16 04:47:41 UTC,,,
0DK2DXD2P2NE9HEAM74HKP98DN,844,676192,2017-05-16 04:47:51 UTC,,,
0DK2DXG4A79M914JFXYXD4Q6SS,844,676192,2017-05-16 04:48:01 UTC,,,
0DK2DXK5ZZT743APV6NWD2KCMC,844,676192,2017-05-16 04:48:11 UTC,,,
0DK2DXP7MQ6D7YEAKEKTSQ17MZ,843,676192,2017-05-16 04:48:21 UTC,,,
0DK2DXS99RA5KCZYD4A2E01PA6,842,676192,2017-05-16 04:48:31 UTC,,,
0DK2DXWAYK8YDVCRDHFBQM98DB,843,676192,2017-05-16 04:48:41 UTC,,,
